lakecode,month,year,station,secchi_m
BUSL,JUNE,2017,1,0.3
BUSL,JUNE,2017,2,0.6
BUSL,JUNE,2017,3,0.6
CASL,JUNE,2017,1,0.65
CASL,JUNE,2017,2,1
CASL,JUNE,2017,3,1
CLSL,JUNE,2017,1,1.1
CLSL,JUNE,2017,2,1.35
CLSL,JUNE,2017,3,1.2
DGSL,JUNE,2017,1,1.05
DGSL,JUNE,2017,2,1.3
DGSL,JUNE,2017,3,1.9
GESL,JUNE,2017,1,1.1
GESL,JUNE,2017,2,1.8
GESL,JUNE,2017,3,1.3
MESL,JUNE,2017,1,0.55
MESL,JUNE,2017,2,0.55
MESL,JUNE,2017,3,0.5
NOSL,JUNE,2017,1,0.75
NOSL,JUNE,2017,2,0.8
NOSL,JUNE,2017,3,0.8
OTSL,JUNE,2017,1,0.3
OTSL,JUNE,2017,2,0.3
OTSL,JUNE,2017,3,0.35
PTSA,JUNE,2017,1,1.4
PTSA,JUNE,2017,2,1.5
PTSA,JUNE,2017,3,1.7
SCSL,JUNE,2017,1,0.4
SCSL,JUNE,2017,2,0.4
SCSL,JUNE,2017,3,0.4
SNSL,JUNE,2017,1,0.5
SNSL,JUNE,2017,2,0.6
SNSL,JUNE,2017,3,0.6
WSSL,JUNE,2017,1,0.4
WSSL,JUNE,2017,2,0.5
WSSL,JUNE,2017,3,0.5
BUSL,AUG,2017,1,0.4
BUSL,AUG,2017,2,0.5
BUSL,AUG,2017,3,0.5
CASL,AUG,2017,1,0.82
CASL,AUG,2017,2,0.95
CASL,AUG,2017,3,0.93
CLSL,AUG,2017,1,0.8
CLSL,AUG,2017,2,0.9
CLSL,AUG,2017,3,0.9
DGSL,AUG,2017,1,1.8
DGSL,AUG,2017,2,2.2
DGSL,AUG,2017,3,2.9
GESL,AUG,2017,1,1.15
GESL,AUG,2017,2,1.09
GESL,AUG,2017,3,1.45
MESL,AUG,2017,1,0.68
MESL,AUG,2017,2,0.77
MESL,AUG,2017,3,0.75
NOSL,AUG,2017,1,0.7
NOSL,AUG,2017,2,0.6
NOSL,AUG,2017,3,0.55
OTSL,AUG,2017,1,0.36
OTSL,AUG,2017,2,0.39
OTSL,AUG,2017,3,0.38
PTSA,AUG,2017,1,1.7
PTSA,AUG,2017,2,1.7
PTSA,AUG,2017,3,1.8
SCSL,AUG,2017,1,0.6
SCSL,AUG,2017,2,0.4
SCSL,AUG,2017,3,0.45
SNSL,AUG,2017,1,1.1
SNSL,AUG,2017,2,1.12
SNSL,AUG,2017,3,1.4
WSSL,AUG,2017,1,1
WSSL,AUG,2017,2,0.8
WSSL,AUG,2017,3,0.9
BUSL,OCT,2017,1,0.51
BUSL,OCT,2017,2,0.55
BUSL,OCT,2017,3,0.66
CASL,OCT,2017,1,0.91
CASL,OCT,2017,2,0.89
CASL,OCT,2017,3,0.65
CLSL,OCT,2017,1,1.07
CLSL,OCT,2017,2,1.4
CLSL,OCT,2017,3,1.43
DGSL,OCT,2017,1,0.4
DGSL,OCT,2017,2,0.4
DGSL,OCT,2017,3,0.65
GESL,OCT,2017,1,1
GESL,OCT,2017,2,1.08
GESL,OCT,2017,3,1.27
MESL,OCT,2017,1,0.43
MESL,OCT,2017,2,0.4
MESL,OCT,2017,3,0.44
NOSL,OCT,2017,1,0.72
NOSL,OCT,2017,2,0.76
NOSL,OCT,2017,3,0.77
OTSL,OCT,2017,1,0.22
OTSL,OCT,2017,2,0.19
OTSL,OCT,2017,3,0.26
PTSA,OCT,2017,1,1.7
PTSA,OCT,2017,2,1.6
PTSA,OCT,2017,3,1.6
SCSL,OCT,2017,1,0.4
SCSL,OCT,2017,2,0.4
SCSL,OCT,2017,3,0.44
SNSL,OCT,2017,1,0.68
SNSL,OCT,2017,2,0.83
SNSL,OCT,2017,3,0.66
WSSL,OCT,2017,1,0.5
WSSL,OCT,2017,2,0.62
WSSL,OCT,2017,3,0.62
BUSL,JUNE,2018,1,0.35
BUSL,JUNE,2018,2,0.6
BUSL,JUNE,2018,3,0.6
CLSL,JUNE,2018,1,1.45
CLSL,JUNE,2018,2,1.4
CLSL,JUNE,2018,3,1.3
DGSL,JUNE,2018,1,2.5
DGSL,JUNE,2018,2,2.55
DGSL,JUNE,2018,3,2.4
GESL,JUNE,2018,1,1.4
GESL,JUNE,2018,2,1.3
GESL,JUNE,2018,3,1.3
NOSL,JUNE,2018,1,0.55
NOSL,JUNE,2018,2,0.65
NOSL,JUNE,2018,3,0.6
OTSL,JUNE,2018,1,0.55
OTSL,JUNE,2018,2,0.53
OTSL,JUNE,2018,3,0.58
PTSA,JUNE,2018,1,2.45
PTSA,JUNE,2018,2,2.05
PTSA,JUNE,2018,3,2.45
SNSL,JUNE,2018,1,0.95
SNSL,JUNE,2018,2,1
SNSL,JUNE,2018,3,1.05
WSSL,JUNE,2018,1,1.15
WSSL,JUNE,2018,2,0.85
WSSL,JUNE,2018,3,1.15
BUSL,AUG,2018,1,0.2
BUSL,AUG,2018,2,0.25
BUSL,AUG,2018,3,0.23
CASL,AUG,2018,1,0.23
CASL,AUG,2018,2,0.9
CASL,AUG,2018,3,0.97
CLSL,AUG,2018,1,0.9
CLSL,AUG,2018,2,1.1
CLSL,AUG,2018,3,1
DGSL,AUG,2018,1,1
DGSL,AUG,2018,2,0.95
DGSL,AUG,2018,3,0.95
GESL,AUG,2018,1,1.7
GESL,AUG,2018,2,1.6
GESL,AUG,2018,3,2
MESL,AUG,2018,1,0.35
MESL,AUG,2018,2,0.4
MESL,AUG,2018,3,0.45
NOSL,AUG,2018,1,0.4
NOSL,AUG,2018,2,0.35
NOSL,AUG,2018,3,0.4
OTSL,AUG,2018,1,0.15
OTSL,AUG,2018,2,0.2
OTSL,AUG,2018,3,0.2
PTSA,AUG,2018,1,1.9
PTSA,AUG,2018,2,1.7
PTSA,AUG,2018,3,1.7
SCSL,AUG,2018,1,1.4
SCSL,AUG,2018,2,2
SCSL,AUG,2018,3,3.2
SNSL,AUG,2018,1,0.8
SNSL,AUG,2018,2,0.95
SNSL,AUG,2018,3,1
WSSL,AUG,2018,1,1.2
WSSL,AUG,2018,2,1.15
WSSL,AUG,2018,3,1
BUSL,OCT,2018,1,0.39
BUSL,OCT,2018,2,0.395
BUSL,OCT,2018,3,0.51
CASL,OCT,2018,1,0.9
CASL,OCT,2018,2,0.85
CASL,OCT,2018,3,0.82
CLSL,OCT,2018,1,1.14
CLSL,OCT,2018,2,1
CLSL,OCT,2018,3,0.98
DGSL,OCT,2018,1,1.3
DGSL,OCT,2018,2,1.45
DGSL,OCT,2018,3,1.45
GESL,OCT,2018,1,2.14
GESL,OCT,2018,2,2.14
GESL,OCT,2018,3,2.0066
MESL,OCT,2018,1,0.2921
MESL,OCT,2018,2,0.33655
MESL,OCT,2018,3,0.3302
NOSL,OCT,2018,1,0.8
NOSL,OCT,2018,2,0.85
NOSL,OCT,2018,3,0.85
OTSL,OCT,2018,1,0.22
OTSL,OCT,2018,2,0.28
OTSL,OCT,2018,3,0.32
PTSA,OCT,2018,1,1.35
PTSA,OCT,2018,2,1.32
PTSA,OCT,2018,3,1.3
SCSL,OCT,2018,1,0.33
SCSL,OCT,2018,2,0.27
SCSL,OCT,2018,3,0.33
SNSL,OCT,2018,1,0.43
SNSL,OCT,2018,2,0.55
SNSL,OCT,2018,3,0.48
WSSL,OCT,2018,1,0.75
WSSL,OCT,2018,2,0.8
WSSL,OCT,2018,3,0.8
BUSL,JUNE,2019,1,0.48
BUSL,JUNE,2019,2,0.39
BUSL,JUNE,2019,3,0.52
CLSL,JUNE,2019,1,1.17
CLSL,JUNE,2019,2,1.28
CLSL,JUNE,2019,3,1.33
DGSL,JUNE,2019,1,0.8
DGSL,JUNE,2019,2,1.14
DGSL,JUNE,2019,3,1.21
GESL,JUNE,2019,1,2.12
GESL,JUNE,2019,2,2.57
GESL,JUNE,2019,3,2.34
MESL,JUNE,2019,1,0.46
MESL,JUNE,2019,2,0.45
MESL,JUNE,2019,3,0.4
NOSL,JUNE,2019,1,0.48
NOSL,JUNE,2019,2,0.53
NOSL,JUNE,2019,3,0.51
OTSL,JUNE,2019,1,0.24
OTSL,JUNE,2019,2,0.31
OTSL,JUNE,2019,3,0.41
PTSA,JUNE,2019,1,1.59
PTSA,JUNE,2019,2,1.45
PTSA,JUNE,2019,3,1.22
SCSL,JUNE,2019,1,0.43
SCSL,JUNE,2019,2,0.35
SCSL,JUNE,2019,3,0.51
SNSL,JUNE,2019,1,0.44
SNSL,JUNE,2019,2,0.82
SNSL,JUNE,2019,3,0.86
WSSL,JUNE,2019,1,0.16
WSSL,JUNE,2019,2,0.15
WSSL,JUNE,2019,3,0.17
BUSL,AUG,2019,1,0.41
BUSL,AUG,2019,2,0.58
BUSL,AUG,2019,3,0.7
CLSL,AUG,2019,1,1.14
CLSL,AUG,2019,2,1.24
CLSL,AUG,2019,3,1.44
DGSL,AUG,2019,1,1.11
DGSL,AUG,2019,2,1.05
DGSL,AUG,2019,3,1.3
GESL,AUG,2019,1,1.71
GESL,AUG,2019,2,1.68
GESL,AUG,2019,3,1.89
MESL,AUG,2019,1,0.41
MESL,AUG,2019,2,0.55
MESL,AUG,2019,3,0.49
NOSL,AUG,2019,1,0.57
NOSL,AUG,2019,2,0.61
NOSL,AUG,2019,3,0.66
OTSL,AUG,2019,1,0.18
OTSL,AUG,2019,2,0.22
OTSL,AUG,2019,3,0.26
PTSA,AUG,2019,1,2.3
PTSA,AUG,2019,2,2.61
PTSA,AUG,2019,3,2.11
SCSL,AUG,2019,1,0.29
SCSL,AUG,2019,2,0.24
SCSL,AUG,2019,3,0.19
SNSL,AUG,2019,1,1.01
SNSL,AUG,2019,2,1.27
SNSL,AUG,2019,3,1.5
WSSL,AUG,2019,1,0.37
WSSL,AUG,2019,2,0.3
WSSL,AUG,2019,3,0.32
BUSL,OCT,2019,1,0.31
BUSL,OCT,2019,2,0.41
BUSL,OCT,2019,3,0.4
CLSL,OCT,2019,1,1.06
CLSL,OCT,2019,2,1.02
CLSL,OCT,2019,3,1.01
DGSL,OCT,2019,1,1.01
DGSL,OCT,2019,2,1.11
DGSL,OCT,2019,3,1.18
GESL,OCT,2019,1,1.4
GESL,OCT,2019,2,1.41
GESL,OCT,2019,3,1.44
MESL,OCT,2019,1,0.43
MESL,OCT,2019,2,0.43
MESL,OCT,2019,3,0.44
NOSL,OCT,2019,1,0.37
NOSL,OCT,2019,2,0.43
NOSL,OCT,2019,3,0.2
OTSL,OCT,2019,1,0.23
OTSL,OCT,2019,2,0.19
OTSL,OCT,2019,3,0.2
PTSA,OCT,2019,1,1.5
PTSA,OCT,2019,2,1.57
PTSA,OCT,2019,3,1.59
SCSL,OCT,2019,1,0.8
SCSL,OCT,2019,2,0.39
SCSL,OCT,2019,3,0.51
SNSL,OCT,2019,1,0.78
SNSL,OCT,2019,2,1
SNSL,OCT,2019,3,1.07
WSSL,OCT,2019,1,0.2
WSSL,OCT,2019,2,0.2
WSSL,OCT,2019,3,0.19
BUSL,JUNE,2020,1,0.2
BUSL,JUNE,2020,2,0.32
BUSL,JUNE,2020,3,0.37
CLSL,JUNE,2020,1,0.94
CLSL,JUNE,2020,2,0.95
CLSL,JUNE,2020,3,0.43
DGSL,JUNE,2020,1,1.5
DGSL,JUNE,2020,2,1.51
DGSL,JUNE,2020,3,1.61
GESL,JUNE,2020,1,1.37
GESL,JUNE,2020,2,1.61
GESL,JUNE,2020,3,2.04
MESL,JUNE,2020,1,0.37
MESL,JUNE,2020,2,0.38
MESL,JUNE,2020,3,0.37
NOSL,JUNE,2020,1,0.34
NOSL,JUNE,2020,2,0.51
NOSL,JUNE,2020,3,0.55
OTSL,JUNE,2020,1,0.21
OTSL,JUNE,2020,2,0.2
OTSL,JUNE,2020,3,0.21
PTSA,JUNE,2020,1,1
PTSA,JUNE,2020,2,1
PTSA,JUNE,2020,3,1.12
SCSL,JUNE,2020,1,0.32
SCSL,JUNE,2020,2,0.27
SCSL,JUNE,2020,3,0.41
SNSL,JUNE,2020,1,0.71
SNSL,JUNE,2020,2,1.09
SNSL,JUNE,2020,3,1.06
WSSL,JUNE,2020,1,0.85
WSSL,JUNE,2020,2,0.94
WSSL,JUNE,2020,3,0.91
BUSL,AUG,2020,1,0.23
BUSL,AUG,2020,2,0.29
BUSL,AUG,2020,3,0.27
CLSL,AUG,2020,1,0.49
CLSL,AUG,2020,2,0.85
CLSL,AUG,2020,3,0.94
DGSL,AUG,2020,1,1.41
DGSL,AUG,2020,2,1.48
DGSL,AUG,2020,3,1.51
GESL,AUG,2020,1,1.45
GESL,AUG,2020,2,2
GESL,AUG,2020,3,1.87
MESL,AUG,2020,1,0.29
MESL,AUG,2020,2,0.3
MESL,AUG,2020,3,0.33
NOSL,AUG,2020,1,0.27
NOSL,AUG,2020,2,0.38
NOSL,AUG,2020,3,0.35
OTSL,AUG,2020,1,0.22
OTSL,AUG,2020,2,0.18
OTSL,AUG,2020,3,0.19
PTSA,AUG,2020,1,1.97
PTSA,AUG,2020,2,1.81
PTSA,AUG,2020,3,1.65
SCSL,AUG,2020,1,0.29
SCSL,AUG,2020,2,0.27
SCSL,AUG,2020,3,0.35
SNSL,AUG,2020,1,0.65
SNSL,AUG,2020,2,0.88
SNSL,AUG,2020,3,0.93
WSSL,AUG,2020,1,0.32
WSSL,AUG,2020,2,0.38
WSSL,AUG,2020,3,0.4
BUSL,OCT,2020,1,0.39
BUSL,OCT,2020,2,0.41
BUSL,OCT,2020,3,0.76
CLSL,OCT,2020,1,0.96
CLSL,OCT,2020,2,1.04
CLSL,OCT,2020,3,1.08
DGSL,OCT,2020,1,1.21
DGSL,OCT,2020,2,1.28
DGSL,OCT,2020,3,1.41
GESL,OCT,2020,1,1.97
GESL,OCT,2020,2,1.48
GESL,OCT,2020,3,1.44
MESL,OCT,2020,1,0.31
MESL,OCT,2020,2,0.28
MESL,OCT,2020,3,0.29
NOSL,OCT,2020,1,0.3
NOSL,OCT,2020,2,0.31
NOSL,OCT,2020,3,0.32
OTSL,OCT,2020,1,0.09
OTSL,OCT,2020,2,0.11
OTSL,OCT,2020,3,0.13
PTSA,OCT,2020,1,2.35
PTSA,OCT,2020,2,3.1
PTSA,OCT,2020,3,2.9
SCSL,OCT,2020,1,0.39
SCSL,OCT,2020,2,0.31
SCSL,OCT,2020,3,0.32
SNSL,OCT,2020,1,0.65
SNSL,OCT,2020,2,0.61
SNSL,OCT,2020,3,0.71
WSSL,OCT,2020,1,0.79
WSSL,OCT,2020,2,0.74
WSSL,OCT,2020,3,0.88
